benchmark,n,shots,seed,iters,eta,frac_zero_steps,frac_nonzero_descent,frac_nonzero_ascent_or_orthogonal,mean_cos_nonzero,cost_start,cost_end,cost_change
parity,10,1024,1,300,0.3,0.0,0.8666666666666667,0.13333333333333333,0.4265537372796082,0.4984726802083047,0.0001485735956614498,-0.49832410661264326
parity,10,1024,2,300,0.3,0.0,0.8866666666666667,0.11333333333333333,0.4267881965189574,0.4995751211560873,0.00011062930961425188,-0.49946449184647307
parity,10,1024,3,300,0.3,0.0,0.7666666666666667,0.23333333333333334,0.31195188151184655,0.49988944843943833,0.14176672021018322,-0.3581227282292551
parity,10,1024,4,300,0.3,0.0,0.9166666666666666,0.08333333333333333,0.49845879959391826,0.5187032618570874,0.00010209491786461466,-0.5186011669392228
parity,10,1024,5,300,0.3,0.0,0.82,0.18,0.3948277711049461,0.49988112191014183,0.00017417226102428573,-0.49970694964911755
parity,10,1024,6,300,0.3,0.0,0.79,0.21,0.371324159763196,0.5001291357344023,0.00035320690214996064,-0.49977592883225236
parity,10,1024,7,300,0.3,0.0,0.8766666666666667,0.12333333333333334,0.4376797393548053,0.4977602070971119,4.768227220641741e-05,-0.49771252482490547
parity,10,1024,8,300,0.3,0.0,0.5333333333333333,0.4666666666666667,0.02398853670462102,0.5000314720174136,0.49997042485802856,-6.104715938504146e-05
parity,10,1024,9,300,0.3,0.0,0.8133333333333334,0.18666666666666668,0.37366362492585076,0.4867522212286356,0.000149643931595278,-0.4866025772970403
parity,10,1024,10,300,0.3,0.0,0.78,0.22,0.32263393826268355,0.44546070990945064,0.00017285491568164169,-0.445287854993769
parity,10,1024,11,300,0.3,0.0,0.59,0.41,0.06846904588498669,0.4999196211387244,0.49939815149229444,-0.0005214696464299617
parity,10,1024,12,300,0.3,0.0,0.59,0.41,0.08005218127714661,0.5017410390578284,0.5000639491951084,-0.0016770898627199715
parity,10,1024,13,300,0.3,0.0,0.8833333333333333,0.11666666666666667,0.440819862566375,0.4958382221476218,0.00012397482228260204,-0.4957142473253392
parity,10,1024,14,300,0.3,0.0,0.5533333333333333,0.44666666666666666,0.052762299420892,0.4997666376742627,0.499280315647506,-0.00048632202675669145
parity,10,1024,15,300,0.3,0.0,0.8833333333333333,0.11666666666666667,0.40251858264449036,0.573394586626651,2.3060564887378288e-05,-0.5733715260617636
parity,10,1024,16,300,0.3,0.0,0.9,0.1,0.48368308667412246,0.5063881925852409,6.58929433045019e-05,-0.5063222996419364
parity,10,1024,17,300,0.3,0.0,0.88,0.12,0.44334425382696613,0.4990878046410645,8.68932592154037e-05,-0.4990009113818491
parity,10,1024,18,300,0.3,0.0,0.89,0.11,0.47485002596635373,0.6569591561319879,8.073029917432528e-05,-0.6568784258328135
parity,10,1024,19,300,0.3,0.0,0.8666666666666667,0.13333333333333333,0.4370081370318469,0.5014352141863356,9.009707811669099e-05,-0.5013451171082189
projector,6,0,0,300,0.3,0.0,1.0,0.0,1.0,0.7613341734879662,0.0,-0.7613341734879662
projector,6,0,1,300,0.3,0.0,1.0,0.0,1.0,0.997417610882583,0.0,-0.997417610882583
projector,6,0,2,300,0.3,0.0,1.0,0.0,1.0,0.9998634848793447,0.999191435898331,-0.0006720489810136954
projector,6,0,3,300,0.3,0.0,1.0,0.0,1.0,0.9795314022960379,0.0,-0.9795314022960379
projector,6,0,4,300,0.3,0.0,1.0,0.0,1.0,0.9999999577743911,0.9999999577301074,-4.4283687827828544e-11
projector,6,0,5,300,0.3,0.0,1.0,0.0,1.0,0.9981922655973359,0.0,-0.9981922655973359
projector,6,0,6,300,0.3,0.0,1.0,0.0,1.0,0.9999875296214491,0.9999845860856266,-2.9435358225304853e-06
projector,6,0,7,300,0.3,0.0,1.0,0.0,1.0,0.9999994716524645,0.9999993207263438,-1.5092612071221367e-07
projector,6,0,8,300,0.3,0.0,1.0,0.0,1.0,0.9332535785121352,0.0,-0.9332535785121352
projector,6,0,9,300,0.3,0.0,1.0,0.0,1.0,0.9994567886540164,7.157667542323498e-05,-0.9993852119785932
projector,6,0,10,300,0.3,0.0,1.0,0.0,1.0,0.9999999990440026,0.9999999990439338,-6.88338275267597e-14
projector,6,0,11,300,0.3,0.0,1.0,0.0,1.0,0.9999988825606319,0.9999988643481712,-1.82124606507017e-08
projector,6,0,12,300,0.3,0.0,1.0,0.0,1.0,0.9989270988106883,0.0,-0.9989270988106883
projector,6,0,13,300,0.3,0.0,1.0,0.0,1.0,0.997725171804295,0.0,-0.997725171804295
projector,6,0,14,300,0.3,0.0,1.0,0.0,1.0,0.9971705528898533,0.0,-0.9971705528898533
projector,6,0,15,300,0.3,0.0,1.0,0.0,1.0,0.9979748184840139,0.0,-0.9979748184840139
projector,6,0,16,300,0.3,0.0,1.0,0.0,1.0,0.9999981930912356,0.9999966231813114,-1.5699099241706094e-06
projector,6,0,17,300,0.3,0.0,1.0,0.0,1.0,0.9999960911857426,0.9999925134279322,-3.5777578104578822e-06
projector,6,0,18,300,0.3,0.0,1.0,0.0,1.0,0.9998875352646613,0.9998202855788795,-6.724968578186719e-05
projector,6,0,19,300,0.3,0.0,1.0,0.0,1.0,0.9992087040328752,0.8859592690908318,-0.11324943494204343
projector,6,64,0,300,0.3,0.0,0.78,0.22,0.3125368404808835,0.7613341734879662,0.0005811391189477488,-0.7607530343690184
