bin_low,bin_high,log10_abs_g_mid,benchmark,shots,n_in_bin,n_used,mean_p_zero,median_p_zero,mean_p_correct,median_p_correct,mean_p_wrong,mean_estimator_sd,mean_abs_g,mean_p_pos,mean_p_neg
-6.0,-5.5,-5.75,parity,1024,5474,4000,0.017628772103903623,0.017628772149500968,0.4912558375485324,0.49125351066916445,0.49111539034756396,0.0110485434559477,1.9450513643316265e-06,0.5000000108235321,0.49999998917646793
-6.0,-5.5,-5.75,parity,16384,5474,4000,0.004407696289268055,0.004407696471641569,0.4980770783814801,0.4980677698095206,0.4975152253292519,0.002762135863986925,1.9450513643316265e-06,0.5000000108235321,0.49999998917646793
-6.0,-5.5,-5.75,projector,64,7580,4000,0.9988067774821021,0.9996344700967723,0.0007178524750187469,0.00032032330990639565,0.00047537004287913955,0.00019977172732215192,1.8956478336616743e-06,9.526670293306752e-06,9.53918541869272e-06
-6.0,-5.5,-5.75,projector,1024,7580,4000,0.9841115695931014,0.9941700506786928,0.009867195049291622,0.005110333349730104,0.006021235357606942,4.994293183053798e-05,1.8956478336616743e-06,9.526670293306752e-06,9.53918541869272e-06
-6.0,-5.5,-5.75,projector,16384,7580,4000,0.85501838889009,0.9114392650558314,0.10073667317874856,0.07764218594052655,0.04424493793116151,1.2485732957634495e-05,1.8956478336616743e-06,9.526670293306752e-06,9.53918541869272e-06
-5.5,-5.0,-5.25,parity,64,7215,4000,0.07038609142616886,0.07038609154307687,0.4648621354066638,0.4648600972185805,0.4647517731671673,0.044194173820510406,6.12482504030731e-06,0.5000000176375751,0.49999998236242493
-5.5,-5.0,-5.25,parity,1024,7215,4000,0.017628769424036194,0.017628769892509666,0.49140674427718234,0.49139857658835867,0.4909644862987815,0.011048543455127601,6.12482504030731e-06,0.5000000176375751,0.49999998236242493
-5.5,-5.0,-5.25,parity,16384,7215,4000,0.0044076855685934915,0.004407687442776259,0.4986807735177674,0.4986480993050028,0.4969115409136391,0.0027621358637819004,6.12482504030731e-06,0.5000000176375751,0.49999998236242493
-5.5,-5.0,-5.25,projector,64,7871,4000,0.9962962042052624,0.9988558659488582,0.0022304789064009965,0.0009962970900938481,0.0014733168883365362,0.00034857665291591677,5.928127489988109e-06,3.196710444929216e-05,3.2168802897467344e-05
-5.5,-5.0,-5.25,projector,1024,7871,4000,0.960325913280926,0.9818941304547528,0.025761481860303487,0.015791141308724756,0.013912604858770503,8.714416322897919e-05,5.928127489988109e-06,3.196710444929216e-05,3.2168802897467344e-05
-5.5,-5.0,-5.25,projector,16384,7871,4000,0.6958688367157835,0.7522123755067298,0.230254940766701,0.216373923745037,0.07387622251751558,2.1786040807244798e-05,5.928127489988109e-06,3.196710444929216e-05,3.2168802897467344e-05
-5.0,-4.5,-4.75,parity,64,9389,4000,0.07038608471806448,0.07038608584938458,0.4649813798207605,0.4649756953556009,0.464632535461175,0.044194173787604936,1.9359979993629268e-05,0.4999998399981362,0.5000001600018639
-5.0,-4.5,-4.75,parity,1024,9389,4000,0.01762874254247501,0.017628747076029447,0.49188459566774917,0.49186181627401876,0.4904866617897758,0.011048543446901234,1.9359979993629268e-05,0.4999998399981362,0.5000001600018639
-5.0,-4.5,-4.75,parity,16384,9389,4000,0.004407578032112098,0.004407596167415026,0.5005923704037141,0.5005012512895635,0.49500005156417387,0.0027621358617253085,1.9359979993629268e-05,0.4999998399981362,0.5000001600018639
-5.0,-4.5,-4.75,projector,64,8158,4000,0.9885340893887091,0.9963829584997681,0.006927130826381161,0.0031429535475552307,0.004538779784909597,0.0006420960500816075,1.8783325902630508e-05,0.00014648751496901347,0.00014686477768749111
-5.0,-4.5,-4.75,projector,1024,8158,4000,0.8998678676985552,0.9438906736097257,0.06811460383631457,0.04875024568916622,0.032017528465130285,0.00016052401252040187,1.8783325902630508e-05,0.00014648751496901347,0.00014686477768749111
-5.0,-4.5,-4.75,projector,16384,8158,4000,0.4252861542134588,0.43035969326650064,0.4737210077406517,0.48388385259952693,0.10099283804588959,4.013100313010047e-05,1.8783325902630508e-05,0.00014648751496901347,0.00014686477768749111
-4.5,-4.0,-4.25,parity,64,11496,4000,0.07038602011606815,0.07038603250289233,0.4653486839028753,0.4653254266356327,0.46426529598105654,0.04419417347071061,6.012531238177439e-05,0.49999995849399137,0.5000000415060086
-4.5,-4.0,-4.25,parity,1024,11496,4000,0.017628483663959967,0.017628533300495117,0.49335649172653184,0.49326329671825986,0.4890150246095082,0.011048543367677653,6.012531238177439e-05,0.49999995849399137,0.5000000415060086
-4.5,-4.0,-4.25,parity,16384,11496,4000,0.004406542595285517,0.004406741063606881,0.5064798015610236,0.5061072704305158,0.48911365584369093,0.0027621358419194133,6.012531238177439e-05,0.49999995849399137,0.5000000415060086
-4.5,-4.0,-4.25,projector,64,7902,4000,0.9747856480938363,0.9889493551936538,0.016359184861332757,0.009781985352118607,0.008855167044830935,0.0010688403617824748,5.947230527684513e-05,0.00027107341810429753,0.0002739891389069518
-4.5,-4.0,-4.25,projector,1024,7902,4000,0.7803886089195199,0.8391156691985816,0.16241185226073424,0.1423366519266534,0.057199538819745925,0.0002672100904456187,5.947230527684513e-05,0.00027107341810429753,0.0002739891389069518
-4.5,-4.0,-4.25,projector,16384,7902,4000,0.14833853201838973,0.13079886361083976,0.7680655296239339,0.7666207078477565,0.08359593835767636,6.680252261140467e-05,5.947230527684513e-05,0.00027107341810429753,0.0002739891389069518
-4.0,-3.5,-3.75,parity,64,13438,4000,0.07038537429364904,0.07038549567924651,0.46651683069393846,0.46644646359673286,0.46309779501241244,0.04419417030271417,0.0001897485922376224,0.4999975386072792,0.5000024613927209
-4.0,-3.5,-3.75,parity,1024,13438,4000,0.017625895943602376,0.017626382220933656,0.4980372353514755,0.49775539311493755,0.48433686870492215,0.011048542575678543,0.0001897485922376224,0.4999975386072792,0.5000024613927209
-4.0,-3.5,-3.75,parity,16384,13438,4000,0.004396209942415544,0.004398145380453985,0.525178897468176,0.5240604675728082,0.4704248925894084,0.0027621356439196357,0.0001897485922376224,0.4999975386072792,0.5000024613927209
-4.0,-3.5,-3.75,projector,64,8007,4000,0.9336401518384272,0.9646208538949858,0.044717990059883805,0.030955496387096937,0.021641858101689043,0.001913788895902127,0.0001874977744677252,0.0008634364488911423,0.0008651543958344177
-4.0,-3.5,-3.75,projector,1024,8007,4000,0.545785493914548,0.578750806782121,0.361565027938657,0.36446587522979057,0.09264947814679497,0.00047844722397553176,0.0001874977744677252,0.0008634364488911423,0.0008651543958344177
-4.0,-3.5,-3.75,projector,16384,8007,4000,0.022590501969425796,0.019088871183044268,0.9327438205417077,0.9694295965484405,0.04466567748886659,0.00011961180599388294,0.0001874977744677252,0.0008634364488911423,0.0008651543958344177
-3.5,-3.0,-3.25,parity,64,14985,4000,0.07037884343166108,0.07038011158431452,0.4702404273157134,0.4700003611408555,0.4593807292526255,0.04419413826416545,0.0006027103096874342,0.4999965902926393,0.5000034097073607
-3.5,-3.0,-3.25,parity,1024,14985,4000,0.017599755687478322,0.01760482148598369,0.5129458288950245,0.5119884737701921,0.4694544154174971,0.011048534566041362,0.0006027103096874342,0.4999965902926393,0.5000034097073607
-3.5,-3.0,-3.25,parity,16384,14985,4000,0.004293596040629235,0.004312853012700639,0.5839927612198432,0.5804548850570301,0.41171364273952743,0.0027621336415103405,0.0006027103096874342,0.4999965902926393,0.5000034097073607
-3.5,-3.0,-3.25,projector,64,7851,4000,0.8416693355780922,0.8927236081335858,0.11369216054179168,0.09374242376730374,0.04463850388011623,0.0033173940290141877,0.0005961238952922317,0.002231940805378263,0.0022307272500406788
-3.5,-3.0,-3.25,projector,1024,7851,4000,0.2500870634242887,0.22719998547028816,0.6532426487849042,0.6404914804780064,0.09667028779080712,0.0008293485072535469,0.0005961238952922317,0.002231940805378263,0.0022307272500406788
-3.5,-3.0,-3.25,projector,16384,7851,4000,0.0022475381254066997,6.089305267010621e-05,0.9831398821999826,0.999901511996439,0.014612579674610784,0.00020733712681338673,0.0005961238952922317,0.002231940805378263,0.0022307272500406788
-3.0,-2.5,-2.75,parity,64,15740,4000,0.07031586719401037,0.07032941036319071,0.48173260619966757,0.4808134473379185,0.4479515266063221,0.044193829106645724,0.0018755072118748011,0.49995357758729936,0.5000464224127006
-3.0,-2.5,-2.75,parity,1024,15740,4000,0.017350305209374497,0.01740299639235352,0.5586052715769274,0.5550713134442897,0.4240444232136981,0.011048457276661431,0.0018755072118748011,0.49995357758729936,0.5000464224127006
-3.0,-2.5,-2.75,parity,16384,15740,4000,0.003457704011480281,0.0035862712051286955,0.7442930326126213,0.7378482758072217,0.25224926337589854,0.0027621143191653577,0.0018755072118748011,0.49995357758729936,0.5000464224127006
-3.0,-2.5,-2.75,projector,64,7570,4000,0.6621808514095717,0.7100681007975297,0.2626524397573403,0.2538147991353932,0.0751667088330881,0.005712399180906189,0.0018610875819153885,0.006357925632602935,0.006197938259600399
-3.0,-2.5,-2.75,projector,1024,7570,4000,0.05458953344111311,0.050052446249499505,0.8870833821946401,0.9105897550574141,0.0583270843642468,0.0014280997952265473,0.0018610875819153885,0.006357925632602935,0.006197938259600399
-3.0,-2.5,-2.75,projector,16384,7570,4000,0.0001961347938488535,3.7851856024298174e-12,0.9962950397142886,0.9999999999935931,0.00350882549186278,0.00035702494880663683,0.0018610875819153885,0.006357925632602935,0.006197938259600399
-2.5,-2.0,-2.25,parity,64,15709,4000,0.06967699246822645,0.06981327604931109,0.5187855116485242,0.5158567482783041,0.4115374958832494,0.0441906707546515,0.005975949740361173,0.4998242942525865,0.5001757057474134
-2.5,-2.0,-2.25,parity,1024,15709,4000,0.01506595410710964,0.015468232782255033,0.6951226943219754,0.6876941332724269,0.2898113515709149,0.011047667688662876,0.005975949740361173,0.4998242942525865,0.5001757057474134
-2.5,-2.0,-2.25,parity,16384,15709,4000,0.0007735363047187623,0.0005441390406969423,0.9635394998963661,0.9793211835414117,0.03568696379891501,0.002761916922165719,0.005975949740361173,0.4998242942525865,0.5001757057474134
-2.5,-2.0,-2.25,projector,64,7106,4000,0.3807617956217987,0.37173521791463016,0.52942546622006,0.5298577788080003,0.08981273815814124,0.009521918072892219,0.005909295946754318,0.015671909179174316,0.0152836229848951
-2.5,-2.0,-2.25,projector,1024,7106,4000,0.0053713449121029965,0.0011818821798384714,0.9775670934780235,0.9982910616759684,0.01706156160987359,0.0023804795182230548,0.005909295946754318,0.015671909179174316,0.0152836229848951
-2.5,-2.0,-2.25,projector,16384,7106,4000,6.520008490361719e-06,7.346858726422749e-36,0.9998117508463821,1.0,0.00018172914513633616,0.0005951198795557637,0.005909295946754318,0.015671909179174316,0.0152836229848951
-2.0,-1.5,-1.75,parity,64,14771,4000,0.0638931689700853,0.06508564767937429,0.629713378571536,0.6210113795278646,0.30639345245837873,0.0441600912961768,0.018641812716251132,0.5002243701034673,0.4997756298965328
-2.0,-1.5,-1.75,parity,1024,14771,4000,0.005310933048732767,0.005037280150809575,0.9285022299432631,0.9407285544430725,0.0661868370080041,0.0110400228240442,0.018641812716251132,0.5002243701034673,0.4997756298965328
