n_qubits,method,n_iters,F0,C0,gnorm0,F_final,C_final,gnorm_final,F_best,C_best,iter_best,gnorm_max,log10_gain_best,log10_gain_final,eligible_F0.01,hit_F0.01,circuit_evals_to_F0.01,shots_to_F0.01,oracle_calls_to_F0.01,eligible_F0.1,hit_F0.1,circuit_evals_to_F0.1,shots_to_F0.1,oracle_calls_to_F0.1,eligible_F0.5,hit_F0.5,circuit_evals_to_F0.5,shots_to_F0.5,oracle_calls_to_F0.5,possible_10xF0,hit_10xF0,possible_100xF0,hit_100xF0,n,start_seed,replicate,config_id,eta,shots,sigma_step,total_circuit_evaluations,total_shots,total_oracle_calls,seed_set
6,exact_gd,2000,0.027290339559159923,0.9727096604408401,0.08297733461341264,0.9999928029588533,7.197041146711491e-06,0.0026827173797465236,0.9999928029588533,7.197041146711491e-06,2000,0.45031293053830496,1.5639879349550547,1.5639879349550547,False,,,,,True,418.0,0.0,0.0,418.0,True,790.0,0.0,0.0,790.0,True,652.0,False,,6,10,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0015581586249235233,0.9984418413750765,0.011548881959563216,0.015331955817939731,0.9846680441820602,0.05160679194273048,0.015331955817939731,0.9846680441820602,2000,0.05160679194273048,0.992985891093769,0.992985891093769,True,1732.0,0.0,0.0,1732.0,True,,,,,True,,,,,True,,True,,6,11,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.003935676496162383,0.9960643235038377,0.018143531773995088,0.07691730937605733,0.9230826906239427,0.15363580156935472,0.07691730937605733,0.9230826906239427,2000,0.15363580156935472,1.2910046907046262,1.2910046907046262,True,926.0,0.0,0.0,926.0,True,,,,,True,,,,,True,1749.0,True,,6,12,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0002769702440590068,0.999723029755941,0.0020502755922160365,0.00038510685523612586,0.9996148931447639,0.002629018076830754,0.00038510685523612586,0.9996148931447639,2000,0.002629018076830754,0.1431481358071129,0.1431481358071129,True,,,,,True,,,,,True,,,,,True,,True,,6,13,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0022911903205147825,0.9977088096794852,0.014616801598502966,0.028519914400639647,0.9714800855993604,0.07579005989225539,0.028519914400639647,0.9714800855993604,2000,0.07579005989225539,1.0950870518071258,1.0950870518071258,True,1355.0,0.0,0.0,1355.0,True,,,,,True,,,,,True,1887.0,True,,6,14,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.005193535936745683,0.9948064640632543,0.018932248282160197,0.06745172778644076,0.9325482722135592,0.13481843700970456,0.06745172778644076,0.9325482722135592,2000,0.13481843700970456,1.1135299375966545,1.1135299375966545,True,798.0,0.0,0.0,798.0,True,,,,,True,,,,,True,1897.0,True,,6,15,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.007295304438580471,0.9927046955614195,0.02937606571817657,0.8660389097600518,0.13396109023994818,0.33181551131526404,0.8660389097600518,0.13396109023994818,2000,0.4454311668252007,2.0744939845753163,2.0744939845753163,True,253.0,0.0,0.0,253.0,True,1386.0,0.0,0.0,1386.0,True,1787.0,0.0,0.0,1787.0,True,1287.0,True,1906.0,6,16,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,7.039752046322579e-05,0.9999296024795368,0.0008081216073317082,8.51031664138224e-05,0.9999148968335861,0.0009089747288218082,8.51031664138224e-05,0.9999148968335861,2000,0.0009089747288218082,0.0823883563593102,0.0823883563593102,True,,,,,True,,,,,True,,,,,True,,True,,6,17,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,3.5852502000760024e-08,0.999999964147498,5.640597468941993e-06,3.6494565028228816e-08,0.999999963505435,5.691384705929134e-06,3.6494565028228816e-08,0.999999963505435,2000,5.691384705929134e-06,0.007708723031566028,0.007708723031566028,True,,,,,True,,,,,True,,,,,True,,True,,6,18,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.02660667966622973,0.9733933203337702,0.0706363190184183,0.9999682312185408,3.176878145916273e-05,0.005636258176048519,0.9999682312185408,3.176878145916273e-05,2000,0.4450228619155753,1.5749955218571947,1.5749955218571947,False,,,,,True,531.0,0.0,0.0,531.0,True,934.0,0.0,0.0,934.0,True,783.0,False,,6,19,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,5.389891054467861e-06,0.9999946101089455,0.00011575599817178532,5.665223336717122e-06,0.9999943347766633,0.00011891820464314483,5.665223336717122e-06,0.9999943347766633,2000,0.00011891820464314483,0.021637048560813044,0.021637048560813044,True,,,,,True,,,,,True,,,,,True,,True,,6,20,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.01026163077365003,0.98973836922635,0.029048389428115506,0.599815270390854,0.400184729609146,0.4401479149946642,0.599815270390854,0.400184729609146,2000,0.4402552601318465,1.766801133905681,1.766801133905681,False,,,,,True,1514.0,0.0,0.0,1514.0,True,1948.0,0.0,0.0,1948.0,True,1523.0,False,,6,21,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.00015422309483020368,0.9998457769051698,0.0013474725885740451,0.00019671942456976792,0.9998032805754302,0.0015745517824231575,0.00019671942456976792,0.9998032805754302,2000,0.0015745517824231575,0.10569783140069476,0.10569783140069476,True,,,,,True,,,,,True,,,,,True,,True,,6,22,0,26374,0.01,,,0,0,2000,tuning
