n,method,eta,shots,sigma_step,primary,role,n_runs,n_start_seeds,median_log10_gain_best,iqr_low_gain_best,iqr_high_gain_best,mean_log10_gain_best,median_log10_gain_final,iqr_low_gain_final,iqr_high_gain_final,median_F0,median_F_best,median_F_final,n_eligible_F0.01,p_hit_F0.01,p_hit_F0.01_ci_low,p_hit_F0.01_ci_high,median_iter_to_F0.01,median_shots_to_F0.01,min_shots_to_F0.01,max_shots_to_F0.01,median_circuit_evals_to_F0.01,min_circuit_evals_to_F0.01,max_circuit_evals_to_F0.01,n_eligible_F0.1,p_hit_F0.1,p_hit_F0.1_ci_low,p_hit_F0.1_ci_high,median_iter_to_F0.1,median_shots_to_F0.1,min_shots_to_F0.1,max_shots_to_F0.1,median_circuit_evals_to_F0.1,min_circuit_evals_to_F0.1,max_circuit_evals_to_F0.1,n_eligible_F0.5,p_hit_F0.5,p_hit_F0.5_ci_low,p_hit_F0.5_ci_high,median_iter_to_F0.5,median_shots_to_F0.5,min_shots_to_F0.5,max_shots_to_F0.5,median_circuit_evals_to_F0.5,min_circuit_evals_to_F0.5,max_circuit_evals_to_F0.5,p_10xF0,p_10xF0_ci_low,p_10xF0_ci_high,median_iter_to_10xF0,p_100xF0,p_100xF0_ci_low,p_100xF0_ci_high,median_iter_to_100xF0
8,matched_gaussian,0.3,16.0,,False,shot_budget_sweep,500,100,1.666845949577131,0.20827216315841174,3.089244580552351,1.6974420463236817,1.5604815575048574,0.07953127395678285,3.0878815073289436,8.660623901650478e-05,0.9991807524775741,0.9903290089831538,460,0.4782608695652174,0.43298128491772464,0.5239005340321174,233.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.5061224489795918,0.4619795532885487,0.5501700949291772,251.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.514,0.47025151158007206,0.5575350068870044,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5755102040816327,0.5313261043858731,0.6185195569660796,199.0,0.5021739130434782,0.45665403934778503,0.5476577787572307,296.0
8,matched_gaussian,0.3,64.0,,True,primary,500,100,1.5629195009864647,0.19141057571203604,3.1020218629200182,1.6850377570044068,1.5626818047370414,0.14525704484429508,3.101540966028051,8.660623901650478e-05,0.9998064679464806,0.9971001674044004,460,0.48043478260869565,0.43512908327201477,0.526064553782843,238.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.5081632653061224,0.46400704626410627,0.5521924846928615,253.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.516,0.4722414643366831,0.5595145567685472,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573469387755102,0.52927425820148,0.6165215204112307,210.0,0.49782608695652175,0.4523422212427693,0.543345960652215,288.0
8,matched_gaussian,0.3,256.0,,False,shot_budget_sweep,500,100,1.558328151742674,0.16865515613362764,3.0894192537547527,1.6565370342837302,1.5578242728469638,0.15571228182829544,3.0892799647894478,8.660623901650478e-05,0.9999566953201071,0.9993015362207236,460,0.47608695652173916,0.43083434200504966,0.5217356588397767,244.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.5040816326530613,0.45995278943365336,0.5481469760448306,254.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.514,0.47025151158007206,0.5575350068870044,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5693877551020409,0.5251728235594548,0.612523189574772,211.0,0.4891304347826087,0.4437288226782034,0.5347120867967177,292.0
8,matched_gaussian,0.3,1024.0,,False,shot_budget_sweep,500,100,1.5629546739746412,0.13895235953041013,3.089427675373569,1.6524470563523723,1.5629149613397737,0.12394587128978413,3.0894031582102404,8.660623901650478e-05,0.9999874683934419,0.9998374284977654,460,0.4782608695652174,0.43298128491772464,0.5239005340321174,249.5,0.0,0.0,0.0,0.0,0.0,0.0,490,0.5061224489795918,0.4619795532885487,0.5501700949291772,250.5,0.0,0.0,0.0,0.0,0.0,0.0,500,0.516,0.4722414643366831,0.5595145567685472,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5693877551020409,0.5251728235594548,0.612523189574772,211.0,0.48043478260869565,0.43512908327201477,0.526064553782843,282.0
8,noise_only,0.3,16.0,,False,shot_budget_sweep,500,100,0.1570776461310568,0.0401601659646419,0.4113950204862801,0.3045900447786648,-4.547345489377406e-06,-0.13690388117857547,0.17293937450906752,8.660623901650478e-05,0.00011751075568405001,5.189658753339915e-05,460,0.0782608695652174,0.05706318291701924,0.10644410470991957,489.5,0.0,0.0,0.0,0.0,0.0,0.0,490,0.01020408163265306,0.004366229098873537,0.023661913483055238,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.061224489795918366,0.04321938940143771,0.08605582166154013,752.5,0.015217391304347827,0.007390429156636631,0.031074133424844566,778.0
8,noise_only,0.3,64.0,,True,primary,500,100,0.08259174418887935,0.021937565595936348,0.22024581399045584,0.17549689411523856,0.00365865726010005,-0.07945695728565802,0.09841152971254012,8.660623901650478e-05,0.00010186282604996208,5.508607177837326e-05,460,0.041304347826086954,0.026599735900106506,0.06360664394156404,877.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.0,0.0,0.007778728885718963,,,,,,,,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.022448979591836733,0.01258050647806827,0.03974693253931229,718.0,0.0,0.0,0.008281835846370746,
8,noise_only,0.3,256.0,,False,shot_budget_sweep,500,100,0.03584283182683645,0.009229452491918524,0.0966263157963507,0.09686691507701228,5.672642869837114e-05,-0.04799226010568958,0.0342019535505342,8.660623901650478e-05,0.00010123856419250448,6.167625884234851e-05,460,0.015217391304347827,0.007390429156636631,0.031074133424844566,625.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.0,0.0,0.007778728885718963,,,,,,,,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.012244897959183673,0.0056237006412368125,0.026454324679933926,696.0,0.0,0.0,0.008281835846370746,
8,noise_only,0.3,1024.0,,False,shot_budget_sweep,500,100,0.0210590413349371,0.005873668820795875,0.058451161644663775,0.054607790617294094,1.4969011385298684e-05,-0.018293081762075,0.01985356566987135,8.660623901650478e-05,8.977510759944178e-05,6.699639565313837e-05,460,0.002173913043478261,0.0003838521616069896,0.012209801789779536,499.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.0,0.0,0.007778728885718963,,,,,,,,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.004081632653061225,0.0011200454554367552,0.014758448908766136,967.0,0.0,0.0,0.008281835846370746,
8,shot_sgd,0.3,16.0,,False,shot_budget_sweep,500,100,1.6668451546907956,0.18614135160840434,3.139810194594703,1.7217746636766778,1.6585589848197526,0.1326288581785875,3.1375383099760903,8.660623901650478e-05,0.9992372025606957,0.9901639921251331,460,0.4826086956521739,0.43727773661020297,0.5282277185496707,246.5,63104.0,1024.0,499968.0,3944.0,64.0,31248.0,490,0.5122448979591837,0.4680642201197909,0.5562350763156609,259.0,66304.0,3584.0,498432.0,4144.0,224.0,31152.0,500,0.522,0.47821548941356756,0.5654490396061242,255.0,65280.0,2560.0,502016.0,4080.0,160.0,31376.0,0.5877551020408164,0.5436530761817776,0.630491881605627,219.0,0.508695652173913,0.4631281647637561,0.5541191076563069,297.0
8,shot_sgd,0.3,64.0,,True,primary,500,100,1.5629190255965248,0.17219086083492458,3.139948180043177,1.6821854933820997,1.562031274544485,0.12493403437000385,3.1394509977364127,8.660623901650478e-05,0.999816188877662,0.9974220362526403,460,0.48043478260869565,0.43512908327201477,0.526064553782843,251.0,257024.0,4096.0,2026496.0,4016.0,64.0,31664.0,490,0.5102040816326531,0.46603526848691623,0.5542141452092937,254.0,260096.0,15360.0,1966080.0,4064.0,240.0,30720.0,500,0.52,0.47622345295527013,0.5634715734262677,261.5,267776.0,10240.0,1981440.0,4184.0,160.0,30960.0,0.573469387755102,0.52927425820148,0.6165215204112307,218.0,0.49130434782608695,0.44588089234369305,0.5368718352362438,301.5
