n,theta_seed,theta_scale,F_theta,shots,k,reps,g_exact,mean_pennylane,mean_binomial,z_mean_pl_vs_binomial,z_mean_pl_vs_exact,z_mean_binomial_vs_exact,var_pennylane,var_binomial,var_theory,var_ratio_pl_over_binomial,var_ratio_pl_over_theory,var_ratio_binomial_over_theory,approx_sd_of_var_ratio,degenerate_all_zero
4,11,0.4,0.5398629562460578,64,3,400,0.03205665322372677,0.03396484375,0.0342578125,-0.10483979018461842,0.997103552869403,1.0809583517571832,0.0014649504467957003,0.001658612779507362,0.0015349834045100532,0.8832383693744462,0.9543754300479186,1.0805411802069413,0.10012523486435178,False
4,11,0.4,0.5398629562460578,256,0,400,0.2533791708308224,0.253779296875,0.2531201171875,0.5331730914482727,0.4654073266730098,-0.29157267564243894,0.0002956563428529821,0.00031575174259960206,0.00030603884086390017,0.9363569632864941,0.966074574123958,1.0317374804723605,0.10012523486435178,False
4,11,0.4,0.5398629562460578,256,3,400,0.03205665322372677,0.031376953125,0.032705078125,-0.9668508111216765,-0.6748612060708074,0.69416709576207,0.0004057567280934269,0.0003490208025862998,0.0003837458511275133,1.1625574323556214,1.057357954232578,0.9095102958398503,0.10012523486435178,False
4,11,0.4,0.5398629562460578,1024,0,400,0.2533791708308224,0.25304443359375,0.25326416015625,-0.3724160811521446,-0.8352530973430008,-0.26561025905423724,6.424389387431898e-05,7.499746810224719e-05,7.650971021597504e-05,0.8566141697841397,0.8396828806823138,0.9802346380680436,0.10012523486435178,False
4,11,0.4,0.5398629562460578,1024,3,400,0.03205665322372677,0.0321240234375,0.032713623046875,-0.8372917752487484,0.1436542847065373,1.2506913403765862,8.797487818208851e-05,0.00011036987442121768,9.593646278187833e-05,0.7970914041846194,0.9170119017428096,1.1504476110627013,0.10012523486435178,False
4,12,1.0,0.0008551241455818778,64,0,400,0.0002412926980484662,0.00025390625,0.0003125,-0.4520224821005303,0.13574563953922336,0.7878623001212203,3.453687318883145e-06,3.2674459586466176e-06,3.6041709266348698e-06,1.0569990636704114,0.9582473720545136,0.9065735297125199,0.10012523486435178,False
4,12,1.0,0.0008551241455818778,64,3,400,-0.01683122735171854,-0.0170703125,-0.019453125,1.0175784610587464,-0.1459361008846098,-1.5670678230598358,0.0010735931014058584,0.0011197365973527568,0.0010797473989992794,0.958790758419445,0.9943002431873187,1.0370356977850002,0.10012523486435178,False
4,12,1.0,0.0008551241455818778,256,0,400,0.0002412926980484662,0.000205078125,0.0002197265625,-0.23149128895040222,-0.8006786730410619,-0.48732352895698683,8.182955863780546e-07,7.833753313337053e-07,9.010427316587174e-07,1.0445766590389016,0.9081651264992341,0.8694097447427385,0.10012523486435178,False
4,12,1.0,0.0008551241455818778,256,3,400,-0.01683122735171854,-0.0178515625,-0.0172216796875,-0.5547526649687351,-1.3230772827807116,-0.4685316424846235,0.00023788949301965852,0.0002777910113035886,0.00026993684974981985,0.8563613772213708,0.8812783183923827,1.0290962925626792,0.10012523486435178,False
4,12,1.0,0.0008551241455818778,1024,0,400,0.0002412926980484662,0.000234375,0.000257568359375,-0.6580655159108877,-0.28164583336041765,0.6438974188710979,2.4131067414630323e-07,2.555664918177707e-07,2.2526068291467936e-07,0.9442187527399624,1.0712507439112355,1.1345366111429667,0.10012523486435178,False
