n,label,log10A,s,target,M_exact,M_rare_event_approx,ratio_approx_over_exact,abs_log10_err
10,typical A,-5.08599301449222,-0.11609788097040777,P_nonzero>=0.99,20382898.0,561356.4264628672,0.027540560054947396,1.5600272323325413
10,typical A,-5.08599301449222,-0.11609788097040777,SNR>=0.5,2260907.0,,,
10,typical A,-5.08599301449222,-0.11609788097040777,SNR>=1.0,9043627.0,,,
10,typical A,-5.08599301449222,-0.11609788097040777,SNR>=2.0,36174507.0,,,
10,typical A,-5.08599301449222,-0.11609788097040777,SNR>=5.0,226090666.0,,,
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,P_nonzero>=0.5,4366.0,3744.8394202468303,0.8577277646007399,0.06665053160623254
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,P_nonzero>=0.9,25977.0,12440.08728095965,0.4788885275805385,0.31976556694182723
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,P_nonzero>=0.95,41912.0,16184.926701206474,0.38616450422806053,0.4132276485430429
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,P_nonzero>=0.99,86761.0,24880.174561919295,0.28676680261775794,0.5424711259275365
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,SNR>=0.5,4906.0,,,
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,SNR>=1.0,19624.0,,,
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,SNR>=2.0,78495.0,,,
10,upper-quartile A,-3.7326077387217493,-0.5246738726503554,SNR>=5.0,490589.0,,,
12,lower-quartile A,-8.204109049879152,0.47268171215373594,P_nonzero>=0.5,131119143.0,110900757.07773863,0.8458014180106305,0.07273159108120182
12,lower-quartile A,-8.204109049879152,0.47268171215373594,P_nonzero>=0.9,858376881.0,368404340.6808185,0.42918716572565574,0.36735327351378805
12,lower-quartile A,-8.204109049879152,0.47268171215373594,P_nonzero>=0.95,1430374350.0,479305097.75855696,0.335090668927723,0.4748376655387138
12,lower-quartile A,-8.204109049879152,0.47268171215373594,P_nonzero>=0.99,3071142594.0,736808681.3616369,0.2399135366756067,0.6199452470815104
12,lower-quartile A,-8.204109049879152,0.47268171215373594,SNR>=0.5,179024083.0,,,
12,lower-quartile A,-8.204109049879152,0.47268171215373594,SNR>=1.0,716096331.0,,,
12,lower-quartile A,-8.204109049879152,0.47268171215373594,SNR>=2.0,2864385323.0,,,
12,lower-quartile A,-8.204109049879152,0.47268171215373594,SNR>=5.0,17902408264.0,,,
12,typical A,-6.191655112291526,-0.3962445708622244,P_nonzero>=0.5,1298237.0,1077657.0473510162,0.8300926928989207,0.08087340910968419
12,typical A,-6.191655112291526,-0.3962445708622244,P_nonzero>=0.9,9930161.0,3579899.222248702,0.36050767175363035,0.4430854888784859
12,typical A,-6.191655112291526,-0.3962445708622244,P_nonzero>=0.95,17505337.0,4657556.269599716,0.2660649303466546,0.5750123654360049
12,typical A,-6.191655112291526,-0.3962445708622244,P_nonzero>=0.99,40070341.0,7159798.444497402,0.17868074655260363,0.7479222416546489
12,typical A,-6.191655112291526,-0.3962445708622244,SNR>=0.5,2475531.0,,,
12,typical A,-6.191655112291526,-0.3962445708622244,SNR>=1.0,9902123.0,,,
12,typical A,-6.191655112291526,-0.3962445708622244,SNR>=2.0,39608491.0,,,
12,typical A,-6.191655112291526,-0.3962445708622244,SNR>=5.0,247553067.0,,,
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,P_nonzero>=0.5,27292.0,26454.98927875897,0.9693312794503507,0.01352777274345056
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,P_nonzero>=0.9,98053.0,87881.57213505339,0.8962660207750236,0.04756306823125268
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,P_nonzero>=0.95,131921.0,114336.5614138123,0.8667047809962956,0.06212880773453423
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,P_nonzero>=0.99,217281.0,175763.14427010674,0.808920910112282,0.09209393819107528
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,SNR>=0.5,11530.0,,,
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,SNR>=1.0,46118.0,,,
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,SNR>=2.0,184472.0,,,
12,upper-quartile A,-4.5816821288192795,0.9097069412344965,SNR>=5.0,1152946.0,,,
