n,label,log10A,s,shots,p_zero_exact,p_both_zero,p_zero_rare_event,p_zero_poisson
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,384.0,0.0052729069369533,2.333627141310082e-27,3.020398737174139e-26,0.0060881203726955
6,lower-quartile A,-4.022772222666706,0.9463474479911156,1.0,0.9999051088684352,0.9999051086333604,0.9999051129003512,0.9999051131354034
6,lower-quartile A,-4.022772222666706,0.9463474479911156,2.0,0.9998102272113027,0.9998102262710922,0.9998102348042638,0.9998102357443848
6,lower-quartile A,-4.022772222666706,0.9463474479911156,3.0,0.999715355027614,0.999715352912341,0.999715365710884,0.9997153678259564
6,lower-quartile A,-4.022772222666706,0.9463474479911156,4.0,0.9996204923163808,0.9996204885562526,0.9996205056193572,0.9996205093791288
6,lower-quartile A,-4.022772222666706,0.9463474479911156,5.0,0.9995256390766154,0.9995256332019724,0.9995256545288294,0.9995256604029148
6,lower-quartile A,-4.022772222666706,0.9463474479911156,7.0,0.999335961007536,0.9993359494954208,0.9993359793473544,0.9993359908583777
6,lower-quartile A,-4.022772222666706,0.9463474479911156,10.0,0.999051514915229,0.999051491427804,0.9990515340612848,0.999051557546482
6,lower-quartile A,-4.022772222666706,0.9463474479911156,15.0,0.9985776273923886,0.9985775745707508,0.9985776384906366,0.9985776913072656
6,lower-quartile A,-4.022772222666706,0.9463474479911156,20.0,0.9981039763847088,0.9981038825241196,0.9981039677102064,0.998104061561897
6,lower-quartile A,-4.022772222666706,0.9463474479911156,29.0,0.9972520001954992,0.9972518030220762,0.9972519264364555,0.9972521235911936
6,lower-quartile A,-4.022772222666706,0.9463474479911156,40.0,0.996211735040221,0.9962113603097218,0.9962115303588568,0.9962119050538628
6,lower-quartile A,-4.022772222666706,0.9463474479911156,56.0,0.9947006599025028,0.9946999265449866,0.99470016425259,0.9947008975406963
6,lower-quartile A,-4.022772222666706,0.9463474479911156,78.0,0.992626868426992,0.992625448642944,0.9926257790451884,0.9926271986949964
6,lower-quartile A,-4.022772222666706,0.9463474479911156,109.0,0.9897124262908016,0.9897096618414728,0.9897101222011928,0.9897128863895202
6,lower-quartile A,-4.022772222666706,0.9463474479911156,153.0,0.985591249500262,0.985585825428452,0.9855864689290132,0.985591892489763
6,lower-quartile A,-4.022772222666706,0.9463474479911156,213.0,0.9800005422292638,0.9799900895032188,0.9799909802707798,0.9800014320147096
6,lower-quartile A,-4.022772222666706,0.9463474479911156,299.0,0.972045322962255,0.9720248929060812,0.9720261331632924,0.972046561307602
6,lower-quartile A,-4.022772222666706,0.9463474479911156,417.0,0.9612404463254768,0.961201151230768,0.9612028616935632,0.961242153131311
6,lower-quartile A,-4.022772222666706,0.9463474479911156,584.0,0.9461643364414096,0.9460884762991228,0.9460908341050188,0.9461666872429292
6,lower-quartile A,-4.022772222666706,0.9463474479911156,816.0,0.9256320343444951,0.9254871520896332,0.9254903748218264,0.9256352438464236
6,lower-quartile A,-4.022772222666706,0.9463474479911156,1141.0,0.8976543986599673,0.8973797178993294,0.8973840873401309,0.8976587434080885
6,lower-quartile A,-4.022772222666706,0.9463474479911156,1596.0,0.8599723397004775,0.8594575821942536,0.8594634357764578,0.8599781480314357
6,lower-quartile A,-4.022772222666706,0.9463474479911156,2231.0,0.8101443295154942,0.8091971594732232,0.8092048635197276,0.8101519529225687
6,lower-quartile A,-4.022772222666706,0.9463474479911156,3119.0,0.7455042386623922,0.7438021434386771,0.7438120435162822,0.7455140004104349
6,lower-quartile A,-4.022772222666706,0.9463474479911156,4362.0,0.6640036913306014,0.6610434014102613,0.6610557064376916,0.6640157717554012
6,lower-quartile A,-4.022772222666706,0.9463474479911156,6099.0,0.5655006371012493,0.5605875181267783,0.5606021086416343,0.5655148917714908
6,lower-quartile A,-4.022772222666706,0.9463474479911156,8528.0,0.4528263065511294,0.4451820533743099,0.4451982548901949,0.45284206543847
6,lower-quartile A,-4.022772222666706,0.9463474479911156,11924.0,0.3334084047292236,0.3225367024194446,0.3225531149318255,0.3334243454395656
6,lower-quartile A,-4.022772222666706,0.9463474479911156,16673.0,0.2191755412752631,0.2055226924336804,0.2055373159525392,0.2191898463763003
