k,layer,qubit,rot,shots,replicate,g_hat,g_exact,xi
2,0,1,0,128,58,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,59,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,60,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,128,61,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,128,62,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,128,63,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,128,64,-0.109375,-0.18740256624278084,0.07802756624278084
2,0,1,0,128,65,-0.1953125,-0.18740256624278084,-0.007909933757219156
2,0,1,0,128,66,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,67,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,68,-0.1171875,-0.18740256624278084,0.07021506624278084
2,0,1,0,128,69,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,70,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,71,-0.3515625,-0.18740256624278084,-0.16415993375721916
2,0,1,0,128,72,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,73,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,128,74,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,75,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,76,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,77,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,128,78,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,79,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,80,-0.1171875,-0.18740256624278084,0.07021506624278084
2,0,1,0,128,81,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,82,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,83,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,84,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,85,-0.3046875,-0.18740256624278084,-0.11728493375721916
2,0,1,0,128,86,-0.1171875,-0.18740256624278084,0.07021506624278084
2,0,1,0,128,87,-0.2265625,-0.18740256624278084,-0.039159933757219156
2,0,1,0,128,88,-0.1953125,-0.18740256624278084,-0.007909933757219156
2,0,1,0,128,89,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,90,-0.2734375,-0.18740256624278084,-0.08603493375721916
2,0,1,0,128,91,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,128,92,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,93,-0.0703125,-0.18740256624278084,0.11709006624278084
